cd_Ugestora;dt_Ano;de_Ugestora;ELEITO;class;n.dispensas
201104;2013;LASTRO;WILMESON EMMANUEL MENDES SARMENTO;Julgados;17
201104;2013;LASTRO;WILMESON EMMANUEL MENDES SARMENTO;Julgados;17
201105;2009;LIVRAMENTO;JARBAS CORREIA BEZERRA;Julgados;2
201105;2009;LIVRAMENTO;JARBAS CORREIA BEZERRA;Julgados;2
201105;2009;LIVRAMENTO;JARBAS CORREIA BEZERRA;Julgados;2
201105;2009;LIVRAMENTO;JARBAS CORREIA BEZERRA;Julgados;2
201105;2013;LIVRAMENTO;CARMELITA ESTEVAO VENTURA SOUSA;Julgados;22
201105;2013;LIVRAMENTO;CARMELITA ESTEVAO VENTURA SOUSA;Julgados;22
201106;2009;LOGRADOURO;HUMBERTO LUIS LISBOA ALVES;NÃo julgados;76
201106;2013;LOGRADOURO;CELIA MARIA DE QUEIROZ CARVALHO;NÃo julgados;58
201107;2013;LUCENA;MARCELO SALES DE MENDONCA;NÃo julgados;2
201109;2013;MALTA;MANOEL BENEDITO DE LUCENA FILHO;Julgados;30
201109;2013;MALTA;MANOEL BENEDITO DE LUCENA FILHO;Julgados;30
201110;2013;MAMANGUAPE;EDUARDO CARNEIRO DE BRITO;NÃo julgados;42
201113;2013;MARI;MARCOS AURELIO MARTINS DE PAIVA;NÃo julgados;34
201115;2013;MASSARANDUBA;JOANA DARC QUEIROGA MENDONCA COUTINHO;Julgados;31
201115;2013;MASSARANDUBA;JOANA DARC QUEIROGA MENDONCA COUTINHO;Julgados;31
201116;2013;MATARACA;OLIMPIO DE ALENCAR ARAUJO BEZERRA;NÃo julgados;4
201117;2013;MATINHAS;MARIA DE FATIMA SILVA;Julgados;3
201117;2013;MATINHAS;MARIA DE FATIMA SILVA;Julgados;3
201118;2013;MATO GROSSO;RAELLYSON RODRIGO OLIVEIRA MONTEIRO;NÃo julgados;1
201120;2013;MOGEIRO;ANTONIO JOSE FERREIRA;Julgados;2
201120;2013;MOGEIRO;ANTONIO JOSE FERREIRA;Julgados;2
201121;2013;MONTADAS;JAIRO HERCULANO DE MELO;NÃo julgados;24
201122;2013;MONTE HOREBE;CLAUDIA APARECIDA DIAS;NÃo julgados;9
201123;2013;MONTEIRO;EDNACE ALVES SILVESTRE HENRIQUE;NÃo julgados;22
201124;2013;MULUNGU;JOANA DARC RODRIGUES BANDEIRA FERRAZ;NÃo julgados;8
201125;2009;NATUBA;JOSEVALDO ALVES DA SILVA;NÃo julgados;0
201125;2013;NATUBA;JOSE LINS DA SILVA FILHO;NÃo julgados;21
201126;2009;NAZAREZINHO;FRANCISCO ASSIS BRAGA JUNIOR;Julgados;22
201126;2009;NAZAREZINHO;FRANCISCO ASSIS BRAGA JUNIOR;Julgados;22
201126;2009;NAZAREZINHO;FRANCISCO ASSIS BRAGA JUNIOR;Julgados;22
201126;2013;NAZAREZINHO;SALVAN MENDES PEDROZA;Julgados;54
201126;2013;NAZAREZINHO;SALVAN MENDES PEDROZA;Julgados;54
201127;2009;NOVA FLORESTA;JOAO  ELIAS DA SILVEIRA NETO AZEVEDO;Julgados;11
201127;2009;NOVA FLORESTA;JOAO  ELIAS DA SILVEIRA NETO AZEVEDO;Julgados;11
201127;2013;NOVA FLORESTA;JOAO ELIAS DA SILVEIRA NETO AZEVEDO;NÃo julgados;28
201128;2009;NOVA OLINDA;MARIA DO CARMO SILVA;Julgados;5
201128;2009;NOVA OLINDA;MARIA DO CARMO SILVA;Julgados;5
201128;2009;NOVA OLINDA;MARIA GALDINO IRMA;Julgados;5
201128;2009;NOVA OLINDA;MARIA DO CARMO SILVA;Julgados;5
201128;2009;NOVA OLINDA;MARIA GALDINO IRMA;Julgados;5
201128;2009;NOVA OLINDA;MARIA DO CARMO SILVA;Julgados;5
201128;2009;NOVA OLINDA;MARIA GALDINO IRMA;Julgados;5
201128;2009;NOVA OLINDA;MARIA GALDINO IRMA;Julgados;5
201128;2009;NOVA OLINDA;MARIA GALDINO IRMA;Julgados;5
201128;2009;NOVA OLINDA;MARIA DO CARMO SILVA;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2009;NOVA PALMEIRA;JOSE PETRONILO DE ARAUJO;Julgados;5
201129;2013;NOVA PALMEIRA;JOSE FELIX DE LIMA FILHO;NÃo julgados;10
201130;2009;OLHO D'ÁGUA;FRANCISCO DE ASSIS CARVALHO;NÃo julgados;2
